,song_id,score|1,score|2,score|3,score|4,eval_score,storytelling
0,104,5.25,4.704545454545454,4.431818181818182,5.363636363636363,5.25,UNK
1,116,4.948717948717949,5.0256410256410255,4.794871794871795,5.102564102564102,4.948717948717949,No
2,119,5.3076923076923075,5.051282051282051,4.6923076923076925,5.128205128205129,5.3076923076923075,UNK
3,120,5.575,5.475,3.7,5.7,5.575,Yes
4,122,5.309523809523809,5.095238095238095,4.738095238095238,4.9523809523809526,5.309523809523809,UNK
5,134,5.5,5.65,4.4,5.575,5.5,UNK
6,143,4.7631578947368425,4.657894736842105,5.026315789473684,4.7105263157894735,4.7631578947368425,No
7,149,5.627906976744186,5.093023255813954,4.488372093023256,5.4186046511627906,5.627906976744186,Yes
8,151,5.6571428571428575,5.6,5.085714285714285,5.514285714285714,5.6571428571428575,Yes
9,166,5.1891891891891895,5.162162162162162,4.45945945945946,5.243243243243243,5.1891891891891895,UNK
10,187,5.151515151515151,5.151515151515151,4.515151515151516,5.303030303030303,5.151515151515151,UNK
11,197,5.512820512820513,5.641025641025641,4.282051282051282,5.538461538461538,5.512820512820513,UNK
12,208,4.837837837837838,5.27027027027027,4.243243243243243,4.837837837837838,4.837837837837838,No
13,212,4.9714285714285715,4.885714285714286,4.9714285714285715,4.771428571428571,4.9714285714285715,UNK
14,219,5.395348837209302,5.604651162790698,4.069767441860465,5.3023255813953485,5.395348837209302,UNK
15,22,5.604651162790698,5.4186046511627906,4.813953488372093,5.534883720930233,5.604651162790698,Yes
16,231,5.395348837209302,5.116279069767442,5.441860465116279,4.976744186046512,5.395348837209302,UNK
17,233,5.4523809523809526,5.5476190476190474,4.214285714285714,5.380952380952381,5.4523809523809526,UNK
18,237,5.448979591836735,5.346938775510204,5.020408163265306,5.224489795918367,5.448979591836735,UNK
19,245,5.837837837837838,5.378378378378378,4.378378378378378,5.45945945945946,5.837837837837838,Yes
20,250,5.717948717948718,5.769230769230769,4.410256410256411,5.435897435897436,5.717948717948718,Yes
21,252,5.222222222222222,5.377777777777778,5.022222222222222,5.377777777777778,5.222222222222222,UNK
22,268,5.4324324324324325,5.405405405405405,4.945945945945946,5.324324324324325,5.4324324324324325,UNK
23,274,5.473684210526316,5.394736842105263,4.473684210526316,5.2631578947368425,5.473684210526316,UNK
24,277,5.023809523809524,5.571428571428571,5.5,5.071428571428571,5.023809523809524,UNK
25,281,4.897435897435898,4.82051282051282,5.410256410256411,4.794871794871795,4.897435897435898,No
26,286,4.861111111111111,5.083333333333333,4.5,5.138888888888889,4.861111111111111,No
27,294,5.186046511627907,5.046511627906977,4.441860465116279,5.186046511627907,5.186046511627907,UNK
28,3,5.25,5.175,4.85,4.975,5.25,UNK
29,307,5.512195121951219,5.2439024390243905,4.536585365853658,5.463414634146342,5.512195121951219,UNK
30,311,5.125,5.425,4.35,5.175,5.125,UNK
31,317,5.4523809523809526,5.428571428571429,4.690476190476191,5.0476190476190474,5.4523809523809526,UNK
32,32,5.585365853658536,4.926829268292683,4.512195121951219,5.2682926829268295,5.585365853658536,Yes
33,323,5.333333333333333,5.128205128205129,4.384615384615385,5.230769230769231,5.333333333333333,UNK
34,326,5.214285714285714,5.5,4.857142857142857,5.333333333333333,5.214285714285714,UNK
35,327,5.525,5.0,4.625,5.475,5.525,UNK
36,329,5.3076923076923075,5.538461538461538,4.82051282051282,5.17948717948718,5.3076923076923075,UNK
37,34,4.72972972972973,4.891891891891892,5.378378378378378,4.5675675675675675,4.72972972972973,No
38,342,5.033333333333333,4.733333333333333,4.5,5.233333333333333,5.033333333333333,UNK
39,347,5.526315789473684,5.605263157894737,4.0,5.473684210526316,5.526315789473684,UNK
40,349,4.421052631578948,4.394736842105263,5.315789473684211,4.2368421052631575,4.421052631578948,No
41,353,4.891891891891892,4.864864864864865,4.675675675675675,4.675675675675675,4.891891891891892,No
42,354,4.9743589743589745,5.3076923076923075,4.641025641025641,5.435897435897436,4.9743589743589745,UNK
43,357,4.973684210526316,5.2105263157894735,4.921052631578948,4.7894736842105265,4.973684210526316,UNK
44,36,5.2,5.177777777777778,3.8444444444444446,5.333333333333333,5.2,UNK
45,367,5.769230769230769,5.410256410256411,4.615384615384615,5.461538461538462,5.769230769230769,Yes
46,370,4.857142857142857,5.0476190476190474,4.071428571428571,4.785714285714286,4.857142857142857,No
47,372,4.853658536585366,4.853658536585366,5.073170731707317,4.829268292682927,4.853658536585366,No
48,375,5.55,5.55,4.775,5.5,5.55,UNK
49,381,5.2894736842105265,5.631578947368421,4.473684210526316,5.2894736842105265,5.2894736842105265,UNK
50,39,5.048780487804878,5.170731707317073,4.634146341463414,4.7317073170731705,5.048780487804878,UNK
51,394,5.0476190476190474,4.976190476190476,4.738095238095238,4.690476190476191,5.0476190476190474,UNK
52,41,5.377777777777778,5.2444444444444445,3.977777777777778,5.488888888888889,5.377777777777778,UNK
53,435,4.780487804878049,5.0,4.7317073170731705,4.536585365853658,4.780487804878049,No
54,44,5.128205128205129,5.0,4.564102564102564,4.6923076923076925,5.128205128205129,UNK
55,457,5.454545454545454,5.340909090909091,4.0,5.386363636363637,5.454545454545454,UNK
56,462,4.90625,4.875,4.75,4.90625,4.90625,No
57,466,4.897435897435898,5.0256410256410255,4.769230769230769,4.615384615384615,4.897435897435898,No
58,474,5.552631578947368,5.2894736842105265,4.947368421052632,5.631578947368421,5.552631578947368,UNK
59,488,5.1,5.1,4.133333333333334,5.3,5.1,UNK
60,50,5.512820512820513,5.282051282051282,4.0,5.384615384615385,5.512820512820513,UNK
